"Medication","Nimi","Nimet","Kokonaisoireiden_väheneminen","Positiivisten_oireiden_vähentyminen","Negatiivisten_oireiden_vähentyminen","Depressiivisten_oireiden_vähentyminen","Pieni_rehospitalisaation_riski","Pieni_lopettamisriski","Sosiaalinen_toimintakyky","Painoneutraali","Ei_EP.oireita","Pieni_akathisia_riski","Ei_prolaktiinin_nousua","Ei_vaikutusta_QT_aikaan","Ei_sedatoi","Ei_Ak_haittoja","Ei_vaikutusta_glukoosiin","Ei_vaikutusta_lipideihin","Ei_dystoniaa","Ei_tardiivia_dyskinesiaa","Ei_ortostatismia","Lääkemuoto","onclick","NAs"
"CLO","Klotsapiini","klotsapiini",1,0.903846154,1,0.558139535,0.951219512,0.8125,"NA",0.302721088,1,1,1,0.333333333,0.553520115,0.507137759,0,0,1,1,0,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/klotsapiini\"")""","NA"
"AMI","Amisulpridi","amisulpridi",0.813953488,1,0.773584906,0.465116279,"NA",1,0.15,0.659863946,0.823943662,0.90143824,0.172347881,0.375335121,0.931034483,0.826552463,"NA","NA","NA","NA","NA","Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/amisulpridi\"")""","NA"
"OLA","Olantsapiini","olantsapiini",0.61627907,0.692307692,0.679245283,0.38372093,0.707317073,0.958333333,0.8,0,0.784037559,0.815989848,0.508707656,0.542193285,0.599317529,0.702712348,0,0,1,1,0.5,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/olantsapiini\"")""","NA"
"RIS","Risperidoni","risperidoni",0.604651163,0.846153846,0.528301887,0.220930233,0.512195122,0.6875,0.0125,0.455782313,0.715375587,0.779187817,0.208598811,0.533001404,0.773527299,0.936830835,0.5,1,0.5,0.5,0.5,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/risperidoni\"")""","NA"
"PERPH","Perfenatsiini","perfenatsiini",0.61627907,0.538461538,0.622641509,0.209302326,0.146341463,0.75,"NA","NA",0.641431925,0.743654822,0.666666667,1,0.823096264,0.769093505,1,1,0.5,0.5,0.5,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/perfenatsiini\"")""","NA"
"THIOR","Tioridatsiini","tioridatsiini",0.593023256,"NA","NA","NA","NA",0.8125,1,"NA",0.938380282,0.960659899,0.666666667,0.333333333,0.574533046,0.365810136,1,1,1,0,0,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/tioridatsiini\"")""","NA"
"ZUC","Tsuklopentiksoli","tsuklopentiksoli",0.558139535,0.5,0.150943396,0.139534884,0.609756098,0.6875,"NA",0.765306122,0.542253521,0,"NA","NA",0,0.569593148,"NA","NA","NA","NA","NA","Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/tsuklopentiksoli\"")""","NA"
"HAL","Haloperidoli","haloperidoli",0.511627907,0.615384615,0.377358491,0.151162791,0.268292683,0.520833333,"NA",0.761904762,0.432511737,0.590736041,0.286211108,0.591982638,0.94612069,0.916488223,1,1,0,0,1,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/haloperidoli\"")""","NA"
"SUL","Sulpiridi","sulpiridi",0.523255814,"NA","NA",1,"NA",0.4375,"NA",0.25170068,0.661971831,0.797800338,"NA","NA",0.659482759,0.937901499,"NA","NA","NA","NA","NA","Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/sulpiridi\"")""","NA"
"CPZ","Klooripromatsiini","klooripromatsiini",0.476744186,0.769230769,0.490566038,0.162790698,"NA",0.5,"NA",0.139455782,0.682805164,0.782360406,0.49186312,1,0.578843391,0.467523198,0.5,1,0.5,0,0,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/klooripromatsiini\"")""","NA"
"FPX","Flupentiksoli","flupentiksoli",0.465116279,0.403846154,0.018867925,0,0,0.645833333,0,0.602040816,0.51584507,0.370981387,0.469576298,"NA",0.887931034,0.698072805,"NA","NA","NA","NA","NA","Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/flupentiksoli\"")""","NA"
"QUE","Ketiapiini","ketiapiini",0.453488372,0.442307692,0.41509434,0.23255814,0.024390244,0.625,0.725,0.285714286,0.948063381,0.982233503,0.697833705,0.558662071,0.540050287,0.493932905,0.5,0,1,1,0.5,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/ketiapiini\"")""","NA"
"ARI","Aripipratsoli","aripipratsoli",0.441860465,0.403846154,0.452830189,0.418604651,0.463414634,0.729166667,0.425,0.782312925,0.924295775,0.795685279,0.721447914,0.965913443,0.970905173,0.937901499,1,1,1,1,1,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/aripipratsoli\"")""","NA"
"ZIP","Tsiprasidoni","tsiprasidoni",0.441860465,0.5,0.452830189,0.197674419,"NA",0.520833333,0.0875,1,0.890845071,0.792301184,0.515556971,0.271926465,0.726113506,0.934689508,1,1,1,1,0.5,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/tsiprasidoni\"")""","NA"
"SER","Sertindoli","sertindoli",0.430232558,0.442307692,0.528301887,0.081395349,"NA",0.395833333,0.25,0.105442177,0.919014085,0.976734349,0.305750239,0,0.950431034,0.86509636,"NA","NA","NA","NA","NA","Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/sertindoli\"")""","NA"
"ASE","Asenapiini","asenapiini",0.418604651,0.576923077,0.622641509,0.325581395,"NA",0.645833333,"NA",0.534013605,0.933978873,0.786590524,0.506398004,0.517107111,0.765984195,0.958244112,0.5,0.5,0.5,0.5,0.5,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/asenapiini\"")""","NA"
"LUR","Lurasidoni","lurasidoni",0.38372093,0.307692308,0.377358491,0.186046512,"NA",0.5625,0.6875,0.836734694,0.703051643,0.753807107,0.665140172,1,0.788613506,0.95503212,0.5,0.5,0.5,0.5,1,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/lurasidoni\"")""","NA"
"PIM","Pimotsidi","pimotsidi",0.313953488,"NA","NA",0.186046512,"NA",0,"NA","NA",0,0.608291032,0.417489646,"NA",1,0.903640257,"NA","NA","NA","NA","NA","Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/pimotsidi\"")""","NA"
"CAR","Karipratsiini","karipratsiini",0.360465116,0.25,0.433962264,0.372093023,"NA",0.458333333,"NA",0.697278912,0.845950704,0.770093063,0.705877668,0.985446189,0.822557471,0.755174875,1,1,1,1,1,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/karipratsiini\"")""","NA"
"TRIFLU","Trifluoperatsiini","trifluoperatsiini",0.244186047,"NA","NA",0.151162791,"NA",0.354166667,"NA",0.156462585,0.600938967,0.734771574,0.666666667,1,0.967133621,0.764810849,1,1,0.5,0.5,1,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/trifluoperatsiini\"")""","NA"
"BRE","Brekspipratsoli","brekspipratsoli",0.26744186,0,0.301886792,0.139534884,"NA",0.541666667,0.45,0.707482993,0.899647888,0.808375634,0.689391526,0.985637687,0.79454023,1,1,0.5,1,1,1,"Tabletti","window.open(\https://www.terveysportti.fi/apps/laake/haku/brekspipratsoli\"")""","NA"
